,feature_1,feature_2,correlation_coefficient
0,position_level_one_cap_hit_prop_active,cap_hit_per_player_prop_active,0.9483388196455664
1,position_level_one_player_count_prop_active,position_level_one_cap_hit_prop_active,0.23947782732287254
2,cap_hit_per_player_prop_active,season,0.12329826031768666
3,position_level_one_cap_hit_prop_active,season,0.08835795560949629
4,cap_hit_per_player_prop_active,pct,0.07649003399656193
5,position_level_one_cap_hit_prop_active,pct,0.062103808016333056
6,season,pct,-5.794695230940693e-06
7,position_level_one_player_count_prop_active,pct,-0.037680548210006014
8,position_level_one_player_count_prop_active,cap_hit_per_player_prop_active,-0.07566986839457565
9,position_level_one_player_count_prop_active,season,-0.11160559131280878
