,feature_1,feature_2,correlation_coefficient
0,position_level_one_cap_hit_prop_active,cap_hit_per_player_prop_active,0.9585785296136617
1,position_level_one_player_count_prop_active,position_level_one_cap_hit_prop_active,0.11008037261566854
2,position_level_one_player_count_prop_active,pct,0.07578422099172576
3,position_level_one_player_count_prop_active,season,0.020551629528010568
4,season,pct,-5.794695230940693e-06
5,position_level_one_cap_hit_prop_active,season,-0.10654178445275228
6,position_level_one_cap_hit_prop_active,pct,-0.12021718260478942
7,cap_hit_per_player_prop_active,season,-0.12332638459711352
8,cap_hit_per_player_prop_active,pct,-0.1413258400890938
9,position_level_one_player_count_prop_active,cap_hit_per_player_prop_active,-0.15382831206327272
