,Feature,Coefficient
0,Intercept,0.4995894456730695
1,num__cap_hit_pct_sum,0.01128812560363093
2,num__season,-0.0038717322116069842
3,cat__position_level_two_defensive_line,0.0009178907697202227
4,cat__position_level_two_linebacker,0.0
5,cat__position_level_two_offensive_line,-0.0
6,cat__position_level_two_quarterback,0.00021714180817776114
7,cat__position_level_two_running_back,-0.003252709171061274
8,cat__position_level_two_secondary,-0.005093975910550354
9,cat__position_level_two_special_team,-0.0
10,cat__position_level_two_tight_end,0.007268365576810589
11,cat__position_level_two_wide_receiver,-0.010404480777192105
12,cat__team_arizona-cardinals,-0.043060007827036687
13,cat__team_atlanta-falcons,-0.015519563649157962
14,cat__team_baltimore-ravens,0.11774805636868403
15,cat__team_buffalo-bills,0.035487413800634256
16,cat__team_carolina-panthers,-0.08912552566489322
17,cat__team_chicago-bears,-0.06922788718553931
18,cat__team_cincinnati-bengals,0.008839605073434089
19,cat__team_cleveland-browns,-0.1335830714327707
20,cat__team_dallas-cowboys,0.057753393457415696
21,cat__team_denver-broncos,0.02228752509056744
22,cat__team_detroit-lions,-0.007601125386877961
23,cat__team_green-bay-packers,0.13929568871211995
24,cat__team_houston-texans,-0.023246329419265667
25,cat__team_indianapolis-colts,0.015441919436744353
26,cat__team_jacksonville-jaguars,-0.18803860512270995
27,cat__team_kansas-city-chiefs,0.16313926760811484
28,cat__team_las-vegas-raiders,-0.0996077539676176
29,cat__team_los-angeles-chargers,-0.00040192045068653453
30,cat__team_los-angeles-rams,-0.0
31,cat__team_miami-dolphins,-0.010169550888960068
32,cat__team_minnesota-vikings,0.05808670422661668
33,cat__team_new-england-patriots,0.12778160726578408
34,cat__team_new-orleans-saints,0.07715108563999522
35,cat__team_new-york-giants,-0.0944971800425312
36,cat__team_new-york-jets,-0.13768980415177318
37,cat__team_philadelphia-eagles,0.0777642868027622
38,cat__team_pittsburgh-steelers,0.11318324601051578
39,cat__team_san-francisco-49ers,0.03779711003038777
40,cat__team_seattle-seahawks,0.11393137831949152
41,cat__team_tampa-bay-buccaneers,-0.04406344057436895
42,cat__team_tennessee-titans,-0.03444799021614421
43,cat__team_washington-commanders,-0.06875075036454607
