,feature_1,feature_2,correlation_coefficient,p_value
0,position_level_one_cap_hit_prop_active,cap_hit_per_player_prop_active,0.9585785296136617,2.184970807936756e-245
1,position_level_one_player_count_prop_active,position_level_one_cap_hit_prop_active,0.11008037261566854,0.019777650829224
2,position_level_one_player_count_prop_active,pct,0.07578422099172576,0.10918379409098034
3,position_level_one_player_count_prop_active,season,0.020551629528010568,0.6644143993208252
4,season,pct,-5.794695230940693e-06,0.9999024123970547
5,position_level_one_cap_hit_prop_active,season,-0.10654178445275228,0.024121614906033224
6,position_level_one_cap_hit_prop_active,pct,-0.12021718260478942,0.010876204269675954
7,cap_hit_per_player_prop_active,season,-0.12332638459711352,0.008974688883572108
8,cap_hit_per_player_prop_active,pct,-0.1413258400890938,0.002717505688723076
9,position_level_one_player_count_prop_active,cap_hit_per_player_prop_active,-0.15382831206327272,0.0010896398585449863
