,feature_1,feature_2,p_value
0,position_level_one_cap_hit_prop_active,cap_hit_per_player_prop_active,2.184970807936756e-245
1,position_level_one_player_count_prop_active,cap_hit_per_player_prop_active,0.0010896398585449863
2,cap_hit_per_player_prop_active,pct,0.002717505688723076
3,cap_hit_per_player_prop_active,season,0.008974688883572108
4,position_level_one_cap_hit_prop_active,pct,0.010876204269675954
5,position_level_one_player_count_prop_active,position_level_one_cap_hit_prop_active,0.019777650829224
6,position_level_one_cap_hit_prop_active,season,0.024121614906033224
7,position_level_one_player_count_prop_active,pct,0.10918379409098034
8,position_level_one_player_count_prop_active,season,0.6644143993208252
9,season,pct,0.9999024123970547
