team,season,cap_hit_total,cap_hit_active,cap_hit_inactive,cap_hit_active_inactive_total_pct,position_level_two,position_level_two_cap_hit,position_level_two_cap_hit_pct,position_level_two_cap_hit_active,position_level_two_cap_hit_pct_of_active_cap,position_level_two_cap_hit_active_pct_of_total_cap,position_level_two_cap_hit_inactive,position_level_two_cap_hit_pct_of_inactive_cap,position_level_two_cap_hit_inactive_pct_of_total_cap,w,l,pct,pf,pa,net_pts,div_win_pct,conf_win_pct
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,defensive_line,11708366.0,9.882949291858342,11140966.0,10.034296846731731,9.404010947412974,567400.0,7.624808875847309,0.478938344445367,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,linebacker,14205695.0,11.990927114902762,12766149.0,11.49804502191349,10.775816473392451,1439546.0,19.344841589690677,1.2151106415103106,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,offensive_line,23253666.0,19.628255721405566,21546666.0,19.4063641071503,18.18738904187042,1707000.0,22.938929769248073,1.4408666795351452,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,quarterback,11707912.0,9.88256607365535,10407912.0,9.374059535112247,8.78524522808084,1300000.0,17.4696008787478,1.09732084557451,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,running_back,5064917.0,4.275260773234393,4104225.0,3.696538700125065,3.4643474210984952,960692.0,12.909927544158448,0.810913352135898,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,secondary,23626325.0,19.942814559090912,22305582.0,20.089894460418968,18.827984693285824,1320743.0,17.748348518000004,1.1148298658050886,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,special_team,3919117.0,3.3080990618041826,3775000.0,3.4000167127708933,3.1864509169567503,144117.0,1.936666515263459,0.12164814484743205,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,tight_end,4491606.0,3.791332995313495,4491606.0,4.045439858856165,3.791332995313495,0.0,0.0,0.0,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2011,118470364.0,111028866.0,7441498.0,93.71868394022998,wide_receiver,20492760.0,17.297794408734998,20490760.0,18.45534475692114,17.29610622281873,2000.0,0.026876309044227383,0.001688185916268477,8,8,0.5,312,348,-36,0.667,0.583
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,defensive_line,15805756.0,13.417700955966952,15776404.0,17.772344374108272,13.392783681623383,29352.0,0.10111479474595787,0.024917274343570908,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,linebacker,14758824.0,12.528947485570951,12691524.0,14.29718300572552,10.773991051581303,2067300.0,7.12164810501222,1.754956433989648,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,offensive_line,17895561.0,15.191762161662176,8034226.0,9.050670308101543,6.820353413063858,9861335.0,33.97134316047051,8.37140874859832,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,quarterback,11655489.0,9.894488178709219,1155489.0,1.301674857495662,0.9809088448479971,10500000.0,36.17148217608877,8.913579333861222,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,running_back,7658428.0,6.501333861968011,5926225.0,6.675977081878089,5.030845398839211,1732203.0,5.967271422844523,1.4704884631288007,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,secondary,20974961.0,17.805902752204293,18852961.0,21.238129764148578,16.004510814446817,2122000.0,7.31008430263432,1.8013919377574774,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,special_team,3341667.0,2.836782277318669,3241667.0,3.651784162612877,2.7518910455676098,100000.0,0.3444903064389407,0.08489123175105924,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,tight_end,5306607.0,4.504844046487932,3500584.0,3.9434578601367862,2.9716888760805,1806023.0,6.221574167057749,1.5331551704074327,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2012,117797796.0,88769403.0,29028393.0,75.35743962476174,wide_receiver,20400503.0,17.318238280111796,19590323.0,22.068778585792675,16.630466498711062,810180.0,2.7909915647070096,0.6877717814007318,5,11,0.313,250,357,-107,0.167,0.25
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,defensive_line,22345867.0,18.614397821770954,20985294.0,22.71884674015749,17.481022818350393,1360573.0,4.915967658751221,1.1333750034205596,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,linebacker,15154252.0,12.623688998926205,9284045.0,10.05098120063152,7.733730225156335,5870207.0,21.20999590773522,4.88995877376987,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,offensive_line,23181634.0,19.310602602024414,15944417.0,17.261553075413747,13.281906720120002,7237217.0,26.149221476072608,6.0286958819044125,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,quarterback,12218406.0,10.178091099884965,6172994.0,6.682932562865773,5.142184282552347,6045412.0,21.84303956923042,5.035906817332618,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,running_back,6372704.0,5.308545309805658,5306754.0,5.745134226554925,4.420595096993743,1065950.0,3.851447681121016,0.887950212811915,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,secondary,15374015.0,12.806754435971268,12176326.0,13.18218769068448,10.143037912629348,3197689.0,11.55376132463641,2.66371652334192,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,special_team,4716666.0,3.9290441188261394,4716666.0,5.106300249046387,3.9290441188261394,0.0,0.0,0.0,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,tight_end,5062551.0,4.2171708221034505,2949743.0,3.1934153097808573,2.457174280773448,2112808.0,7.633912915478149,1.7599965413300027,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2013,120046145.0,92369539.0,27676606.0,76.94502726430741,wide_receiver,15620050.0,13.011704790686949,14833300.0,16.058648944864824,12.35633180890565,786750.0,2.842653466974961,0.6553729817812974,10,6,0.625,379,324,55,0.333,0.5
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,defensive_line,27738205.0,20.8199539521986,27049048.0,28.98879898758334,20.302681222912934,689157.0,1.7263310925867688,0.5172727292856669,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,linebacker,16198210.0,12.15817628819323,7853317.0,8.41649687259866,5.894602708142739,8344893.0,20.903869873206947,6.263573580050491,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,offensive_line,25846202.0,19.399839877137808,13729975.0,14.714583869256495,10.305549593596195,12116227.0,30.351022183536276,9.094290283541612,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,quarterback,15946599.0,11.969320180385726,2901372.0,3.1094362247500418,2.1777339751508205,13045227.0,32.67815748799246,9.791586205234907,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,running_back,3583290.0,2.6895732004783195,1484830.0,1.5913106590935613,1.1144950521074832,2098460.0,5.25662039934243,1.5750781483708363,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,secondary,20649495.0,15.49925581111522,19759492.0,21.176491745098062,14.831230555792512,890003.0,2.229448226449854,0.6680252553227078,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,special_team,3214032.0,2.4124127080643025,1861579.0,1.9950772178934508,1.397278196566069,1352453.0,3.3878806500728476,1.0151345114982333,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,tight_end,5036929.0,3.780656673367788,3987546.0,4.273502322438188,2.9930027592727693,1049383.0,2.6286934630744248,0.787653914095019,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2014,133228945.0,93308619.0,39920326.0,70.03629654201646,wide_receiver,15015983.0,11.270811309059003,14681460.0,15.7343021012882,11.019722478474929,334523.0,0.8379766237379925,0.25108883058407466,11,5,0.688,310,299,11,0.5,0.667
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,defensive_line,29360981.0,20.289815262152516,21871841.0,18.122129557928517,15.114468189369187,7489140.0,31.183134890331853,5.175347072783327,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,linebacker,14469562.0,9.999146142435162,9523324.0,7.89064401803808,6.5810636450336375,4946238.0,20.595049198397312,3.4180824974015254,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,offensive_line,32837534.0,22.69227647825024,28189727.0,23.356876309435293,19.480423801933348,4647807.0,19.352448028108515,3.211852676316888,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,quarterback,11860495.0,8.196158448101022,11834168.0,9.8053166034945,8.177965256040897,26327.0,0.10961984850834229,0.018193192060125284,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,running_back,2813367.0,1.9441685785170544,1990934.0,1.6496080000437479,1.3758287932933289,822433.0,3.424430465615584,0.5683397852237254,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,secondary,27007648.0,18.663551758888534,24721160.0,20.482960915008483,17.083481286477255,2286488.0,9.520434085772878,1.5800704724112788,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,special_team,2303000.0,1.5914810390271785,1760500.0,1.4586796368322699,1.2165880891043628,542500.0,2.258850906513302,0.3748929499228156,13,3,0.813,489,313,176,0.667,0.833
arizona-cardinals,2015,144707976.0,120691340.0,24016636.0,83.40337784836407,tight_end,5456256.0,3.7705288615190082,4533761.0,3.7564923879376932,3.1330415401567087,922495.0,3.841066667288458,0.6374873213623,13,3,0.813,489,313,176,0.667,0.833
