,team,season,wins,losses,ties,games_played,winning_pct,index
0,Air Force,1990,6,5,0,11,0.5454545454545454,0
1,Air Force,1991,9,3,0,12,0.75,1
2,Air Force,1992,7,4,0,11,0.6363636363636364,2
3,Air Force,1993,4,8,0,12,0.3333333333333333,3
4,Air Force,1994,8,4,0,12,0.6666666666666666,4
5,Air Force,1995,8,4,0,12,0.6666666666666666,5
6,Air Force,1996,6,5,0,11,0.5454545454545454,6
7,Air Force,1997,10,2,0,12,0.8333333333333334,7
8,Air Force,1998,11,1,0,12,0.9166666666666666,8
9,Air Force,1999,6,5,0,11,0.5454545454545454,9
10,Air Force,2000,8,3,0,11,0.7272727272727273,10
11,Air Force,2001,6,6,0,12,0.5,11
12,Air Force,2002,8,5,0,13,0.6153846153846154,12
13,Air Force,2003,7,5,0,12,0.5833333333333334,13
14,Air Force,2004,5,6,0,11,0.45454545454545453,14
15,Air Force,2005,4,7,0,11,0.36363636363636365,15
16,Air Force,2006,4,8,0,12,0.3333333333333333,16
17,Air Force,2007,9,4,0,13,0.6923076923076923,17
18,Air Force,2008,8,5,0,13,0.6153846153846154,18
19,Air Force,2009,8,5,0,13,0.6153846153846154,19
20,Air Force,2010,9,4,0,13,0.6923076923076923,20
21,Air Force,2011,7,6,0,13,0.5384615384615384,21
22,Air Force,2012,6,7,0,13,0.46153846153846156,22
23,Air Force,2013,2,10,0,12,0.16666666666666666,23
24,Air Force,2014,10,3,0,13,0.7692307692307693,24
25,Air Force,2015,8,6,0,14,0.5714285714285714,25
26,Air Force,2016,10,3,0,13,0.7692307692307693,26
27,Air Force,2017,5,7,0,12,0.4166666666666667,27
28,Air Force,2018,5,7,0,12,0.4166666666666667,28
29,Air Force,2019,11,2,0,13,0.8461538461538461,29
30,Air Force,2020,3,3,0,6,0.5,30
31,Air Force,2021,10,3,0,13,0.7692307692307693,31
32,Air Force,2022,10,3,0,13,0.7692307692307693,32
33,Air Force,2023,9,4,0,13,0.6923076923076923,33
34,Akron,1990,3,7,1,11,0.3181818181818182,34
35,Akron,1991,5,6,0,11,0.45454545454545453,35
36,Akron,1992,7,3,1,11,0.6818181818181818,36
37,Akron,1993,5,6,0,11,0.45454545454545453,37
38,Akron,1994,1,10,0,11,0.09090909090909091,38
39,Akron,1995,2,9,0,11,0.18181818181818182,39
40,Akron,1996,4,7,0,11,0.36363636363636365,40
41,Akron,1997,2,9,0,11,0.18181818181818182,41
42,Akron,1998,4,7,0,11,0.36363636363636365,42
43,Akron,1999,7,4,0,11,0.6363636363636364,43
44,Akron,2000,6,5,0,11,0.5454545454545454,44
45,Akron,2001,4,7,0,11,0.36363636363636365,45
46,Akron,2002,4,8,0,12,0.3333333333333333,46
47,Akron,2003,7,5,0,12,0.5833333333333334,47
48,Akron,2004,6,5,0,11,0.5454545454545454,48
49,Akron,2005,7,6,0,13,0.5384615384615384,49
50,Akron,2006,5,7,0,12,0.4166666666666667,50
51,Akron,2007,4,8,0,12,0.3333333333333333,51
52,Akron,2008,5,7,0,12,0.4166666666666667,52
53,Akron,2009,3,9,0,12,0.25,53
54,Akron,2010,1,11,0,12,0.08333333333333333,54
55,Akron,2011,1,11,0,12,0.08333333333333333,55
56,Akron,2012,1,11,0,12,0.08333333333333333,56
57,Akron,2013,5,7,0,12,0.4166666666666667,57
58,Akron,2014,5,7,0,12,0.4166666666666667,58
59,Akron,2015,8,5,0,13,0.6153846153846154,59
