NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Div_win_pct,Conf,Conf_win_pct,Non-Conf,Strk,Last 5,season,Home_wins,Home_losses,Home_ties,Road_wins,Road_losses,Road_ties,Div_wins,Div_losses,Div_ties,Conf_wins,Conf_losses,Conf_ties,Non-Conf_wins,Non-Conf_losses,Non-Conf_ties,Last 5_wins,Last 5_losses,Last 5_ties
Indianapolis Colts,2,14,0,0.125,243,430,-187,2 - 6 - 0,0 - 8 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,1L,2 - 3 - 0,2011,2,6,0,0,8,0,2,4,0,2,10,0,0,4,0,2,3,0
Los Angeles Rams,2,14,0,0.125,193,407,-214,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.0,1 - 11 - 0,0.083,1 - 3 - 0,7L,0 - 5 - 0,2011,1,7,0,1,7,0,0,6,0,1,11,0,1,3,0,0,5,0
Minnesota Vikings,3,13,0,0.188,340,449,-109,1 - 7 - 0,2 - 6 - 0,0 - 6 - 0,0.0,3 - 9 - 0,0.25,0 - 4 - 0,1L,1 - 4 - 0,2011,1,7,0,2,6,0,0,6,0,3,9,0,0,4,0,1,4,0
Cleveland Browns,4,12,0,0.25,218,307,-89,3 - 5 - 0,1 - 7 - 0,0 - 6 - 0,0.0,3 - 9 - 0,0.25,1 - 3 - 0,6L,0 - 5 - 0,2011,3,5,0,1,7,0,0,6,0,3,9,0,1,3,0,0,5,0
Tampa Bay Buccaneers,4,12,0,0.25,287,494,-207,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,1 - 3 - 0,10L,0 - 5 - 0,2011,3,5,0,1,7,0,2,4,0,3,9,0,1,3,0,0,5,0
Jacksonville Jaguars,5,11,0,0.313,243,329,-86,4 - 4 - 0,1 - 7 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,1 - 3 - 0,1W,2 - 3 - 0,2011,4,4,0,1,7,0,3,3,0,4,8,0,1,3,0,2,3,0
Washington Commanders,5,11,0,0.313,288,367,-79,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,0 - 4 - 0,2L,1 - 4 - 0,2011,2,6,0,3,5,0,2,4,0,5,7,0,0,4,0,1,4,0
Buffalo Bills,6,10,0,0.375,372,434,-62,5 - 3 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 2 - 0,1L,1 - 4 - 0,2011,5,3,0,1,7,0,1,5,0,4,8,0,2,2,0,1,4,0
Carolina Panthers,6,10,0,0.375,406,429,-23,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.25,3 - 1 - 0,1L,3 - 2 - 0,2011,3,5,0,3,5,0,2,4,0,3,9,0,3,1,0,3,2,0
Miami Dolphins,6,10,0,0.375,329,313,16,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,1 - 3 - 0,1W,3 - 2 - 0,2011,4,4,0,2,6,0,3,3,0,5,7,0,1,3,0,3,2,0
